Sr No.,Student Name,Registration No.,Department,University,Degree Level,Country,City,Semester,Section,No. of Pending Courses,Pending Type,Pending Courses Name
83,Noah Wilson,MS21-DA-231,Data Analytics,University of Delhi,MS,India,Kolkata,8th,C,2,Fail,"Machine Learning, Data Mining"
84,Priya Martinez,MASTER24-DS-219,Data Science,King Fahd University of Petroleum and Minerals,Master,Saudi Arabia,Riyadh,5th,D,0,All Clear,None
85,Syed Ali,PHD23-SE-003,Software Engineering,University of Delhi,PhD,India,Kolkata,5th,C,0,All Clear,None
86,James Fischer,MS23-DS-174,Data Science,University of the Punjab,MS,Pakistan,Rawalpindi,6th,B,2,Withdraw,"Pakistan Studies, Critical Thinking"
87,Ahmad Thomas,PHD23-SST-192,Statistics,University of engineering and Technology (UET) Lahore,PhD,Pakistan,Rawalpindi,6th,B,0,All Clear,None
88,Ravi Al-Farsi,PHD23-SE-192,Software Engineering,Indian Institute of Technology (IIT) Bombay,PhD,India,Kolkata,5th,B,1,Dropped,Software Architecture and Design
89,Ali Wilson,MPHIL25-ME-032,Mechanical Engineering,University of Cambridge,Mphil,United Kingdom,Edinburgh,2nd,D,0,All Clear,None
90,Sophia Ahmed,MPHIL25-BA-227,Business Administration,University of Alberta,Mphil,Canada,Waterloo,2nd,B,3,Fail,"Human Resource Management, Communication Skills, Financial Accounting"
91,Muhammad Khan,MASTER23-BA-127,Business Administration,King Saud University,Master,Saudi Arabia,Dhahran,2nd,B,0,All Clear,None
92,Zahra Miller,MASTER24-GD-168,Graphic Design,Indian Institute of Science (IISc),Master,India,Mumbai,6th,D,0,All Clear,None
93,Liam Malik,BS22-DS-219,Data Science,King Saud University,BS,Saudi Arabia,Dhahran,6th,B,0,All Clear,None
94,Emily Shah,MASTER21-SST-170,Statistics,UNSW Sydney,Master,Australia,Sydney,5th,B,0,All Clear,None
95,Zain Lee,MS22-SE-151,Software Engineering,Universiti Malaya (UM),MS,Malaysia,Kuala Lumpur,3rd,B,0,All Clear,None
96,Michael Kim,BS23-EST-205,Economics,All India Institute of Medical Sciences (AIIMS),BS,India,Mumbai,5th,B,0,All Clear,None
97,Jessica Wilson,MS21-SE-033,Software Engineering,National University of Sciences and Technology (NUST),MS,Pakistan,Lahore,6th,A,2,Dropped,"Islamic Studies / Ethics, Critical Thinking"
98,Amara Taylor,MASTER24-CS-165,Computer Science,UNSW Sydney,Master,Australia,Perth,4th,A,4,Dropped,"Critical Thinking, Computer Networks, Professional Ethics, Pakistan Studies"
99,Zain Garcia,BS23-CS-160,Computer Science,"University of California, Berkeley",BS,United States,Berkeley,6th,B,0,All Clear,None
100,Lucas Schneider,PHD24-GD-026,Graphic Design,American University of Sharjah,PhD,United Arab Emirates,Sharjah,5th,D,3,Dropped,"Pakistan Studies, Professional Ethics, English Composition"
101,Rahul Hassan,MASTER21-MST-081,Mathematics,University of Delhi,Master,India,Chennai,6th,D,0,All Clear,None
102,Ahmad Williams,MASTER24-BA-025,Business Administration,McGill University,Master,Canada,Vancouver,2nd,A,2,Fail,"Islamic Studies / Ethics, Principles of Management"
103,Sneha Smith,BS23-SE-154,Software Engineering,Universiti Teknologi Malaysia,BS,Malaysia,Johor Bahru,7th,C,0,All Clear,None
104,John Patel,MS25-MST-095,Mathematics,Georgia Institute of Technology,MS,United States,Atlanta,8th,B,0,All Clear,None
105,Syed Rodriguez,PHD23-GD-180,Graphic Design,University of Alberta,PhD,Canada,Vancouver,1st,C,1,Fail,Digital Illustration
106,Amara Hernandez,MS24-CS-108,Computer Science,University of Edinburgh,MS,United Kingdom,Edinburgh,1st,A,0,All Clear,None
107,Sarah Davis,MPHIL25-PST-013,Psychology,Imperial College London,Mphil,United Kingdom,London,2nd,A,1,Fail,Psychological Testing
108,Omar Hussein,MPHIL21-GD-073,Graphic Design,King Saud University,Mphil,Saudi Arabia,Dhahran,4th,A,1,Not Registered,History of Art and Design
109,Michael Wilson,MS23-SST-084,Statistics,Karlsruhe Institute of Technology,MS,Germany,Munich,5th,B,0,All Clear,None
110,Lucas Lee,MS23-DA-019,Data Analytics,King Saud University,MS,Saudi Arabia,Dhahran,7th,B,0,All Clear,None
111,Yusuf Ali,BS24-CE-075,Civil Engineering,Lahore University of Management Sciences (LUMS),BS,Pakistan,Lahore,6th,D,0,All Clear,None
112,Sneha Brown,MASTER22-EST-112,Economics,University of engineering and Technology (UET) Lahore,Master,Pakistan,Islamabad,6th,A,0,All Clear,None
113,David Johnson,MPHIL25-DS-163,Data Science,United Arab Emirates University,Mphil,United Arab Emirates,Dubai,4th,C,0,All Clear,None
114,Sarah Wilson,MS22-SE-045,Software Engineering,United Arab Emirates University,MS,United Arab Emirates,Sharjah,4th,A,0,All Clear,None
115,Fatima Miller,PHD24-CE-018,Civil Engineering,Stanford University,PhD,United States,Berkeley,8th,C,0,All Clear,None
116,Noah Malik,MPHIL21-SST-015,Statistics,McGill University,Mphil,Canada,Edmonton,2nd,C,0,All Clear,None
117,Zahra Lee,PHD21-EST-116,Economics,University of Toronto,PhD,Canada,Toronto,7th,D,1,Withdraw,English Composition
118,Lucas Rodriguez,BS21-CE-064,Civil Engineering,United Arab Emirates University,BS,United Arab Emirates,Al Ain,6th,A,1,Not Registered,Internship
119,Zain Sharma,MPHIL21-GD-143,Graphic Design,University of Sydney,Mphil,Australia,Brisbane,1st,C,1,Fail,Critical Thinking
120,Priya Ali,PHD22-CS-153,Computer Science,Universiti Malaya (UM),PhD,Malaysia,Penang,3rd,C,1,Dropped,Computer Networks
121,Abdul Taylor,MASTER22-CS-244,Computer Science,Australian National University,Master,Australia,Perth,6th,A,0,All Clear,None
122,John Tan,MS25-DA-214,Data Analytics,King Abdulaziz University,MS,Saudi Arabia,Jeddah,2nd,C,2,Dropped,"Professional Ethics, Islamic Studies / Ethics"
123,Liam Khan,MS24-DA-094,Data Analytics,University of Edinburgh,MS,United Kingdom,Edinburgh,3rd,B,4,Withdraw,"Islamic Studies / Ethics, Quantitative Methods for Decision Making, Communication Skills, Statistical Modeling"
124,Yusuf Malik,MASTER24-DS-197,Data Science,Indian Institute of Science (IISc),Master,India,Mumbai,4th,C,0,All Clear,None
125,Ravi Smith,MS24-GD-224,Graphic Design,Karlsruhe Institute of Technology,MS,Germany,Berlin,4th,B,0,All Clear,None
126,Liam Tan,BS22-DS-213,Data Science,Georgia Institute of Technology,BS,United States,Boston,3rd,C,0,All Clear,None
127,Lucas Singh,MASTER22-SST-099,Statistics,University of Delhi,Master,India,Bangalore,1st,D,1,Fail,Regression Analysis
128,Michael Al-Farsi,BS24-DA-158,Data Analytics,Harvard University,BS,United States,Stanford,5th,D,0,All Clear,None
129,Amit Gonzalez,MS23-MST-032,Mathematics,Massachusetts Institute of Technology (MIT),MS,United States,Cambridge,7th,A,0,All Clear,None
130,Lucas Müller,BS22-CS-184,Computer Science,Karlsruhe Institute of Technology,BS,Germany,Karlsruhe,8th,A,0,All Clear,None
131,Ahmad Wong,MS23-SE-018,Software Engineering,Technical University of Munich,MS,Germany,Berlin,7th,B,1,Dropped,Islamic Studies / Ethics
132,Omar Gonzalez,BS21-DS-198,Data Science,Lahore University of Management Sciences (LUMS),BS,Pakistan,Karachi,6th,A,0,All Clear,None
133,Noah Al-Farsi,PHD22-SE-208,Software Engineering,Australian National University,PhD,Australia,Melbourne,6th,B,0,All Clear,None
134,Fatima Taylor,BS25-MST-102,Mathematics,King Abdulaziz University,BS,Saudi Arabia,Dhahran,4th,A,1,Not Registered,Professional Ethics
135,Abdul Hussein,MPHIL24-BA-191,Business Administration,McGill University,Mphil,Canada,Toronto,5th,A,0,All Clear,None
136,Ahmad Hussein,MASTER21-CE-111,Civil Engineering,Heidelberg University,Master,Germany,Heidelberg,6th,C,0,All Clear,None
137,Amit Taylor,BS24-SE-155,Software Engineering,University of Edinburgh,BS,United Kingdom,London,2nd,C,2,Withdraw,"Agile Software Development, Islamic Studies / Ethics"
138,Rahul Singh,MPHIL25-GD-206,Graphic Design,University of engineering and Technology (UET) Lahore,Mphil,Pakistan,Faisalabad,1st,A,4,Withdraw,"Digital Illustration, Islamic Studies / Ethics, Pakistan Studies, 3D Modeling"
139,Yusuf Khan,MPHIL25-MST-040,Mathematics,National University of Sciences and Technology (NUST),Mphil,Pakistan,Lahore,6th,D,1,Fail,Professional Ethics
140,Anya Gonzalez,MPHIL21-ME-007,Mechanical Engineering,Georgia Institute of Technology,Mphil,United States,Stanford,7th,C,1,Not Registered,Internship
141,Emily Garcia,MPHIL21-EST-116,Economics,University of Waterloo,Mphil,Canada,Vancouver,8th,B,0,All Clear,None
142,Priya Davis,MPHIL22-SE-204,Software Engineering,King Abdulaziz University,Mphil,Saudi Arabia,Riyadh,2nd,C,0,All Clear,None
143,Abdul Lee,MS25-DA-095,Data Analytics,Indian Institute of Technology (IIT) Delhi,MS,India,Mumbai,8th,A,0,All Clear,None
144,Amara Hassan,MPHIL24-CS-211,Computer Science,United Arab Emirates University,Mphil,United Arab Emirates,Al Ain,7th,D,0,All Clear,None
145,Sofia Schmidt,MASTER22-CE-197,Civil Engineering,Imperial College London,Master,United Kingdom,Oxford,6th,B,1,Not Registered,Fluid Mechanics
146,Omar Wong,MS23-DA-217,Data Analytics,United Arab Emirates University,MS,United Arab Emirates,Sharjah,6th,B,0,All Clear,None
147,Zahra Schmidt,MPHIL22-DA-044,Data Analytics,Indian Institute of Science (IISc),Mphil,India,Bangalore,2nd,B,2,Fail,"Islamic Studies / Ethics, Data Visualization"
148,Yusuf Hassan,PHD25-BA-164,Business Administration,COMSATS University Islamabad,PhD,Pakistan,Lahore,5th,B,0,All Clear,None
149,Noah Johnson,MS21-CE-041,Civil Engineering,Khalifa University,MS,United Arab Emirates,Sharjah,7th,C,0,All Clear,None
150,Fatima Patel,PHD24-SE-034,Software Engineering,King Fahd University of Petroleum and Minerals,PhD,Saudi Arabia,Jeddah,3rd,C,1,Dropped,Islamic Studies / Ethics
151,Amit Das,MS25-MST-108,Mathematics,Harvard University,MS,United States,Berkeley,2nd,A,0,All Clear,None
152,Mia Tan,MPHIL24-PST-128,Psychology,Imperial College London,Mphil,United Kingdom,Manchester,4th,B,1,Not Registered,Psychological Testing
153,Mia Schneider,BS24-SE-074,Software Engineering,Indian Institute of Technology (IIT) Bombay,BS,India,Kolkata,1st,C,0,All Clear,None
154,Muhammad Ali,MPHIL21-DS-146,Data Science,"University of California, Berkeley",Mphil,United States,Stanford,7th,C,0,All Clear,None
155,Ji-woo Fischer,MASTER21-CS-033,Computer Science,UNSW Sydney,Master,Australia,Sydney,8th,C,1,Not Registered,Software Engineering
156,Muhammad Khan,PHD22-EST-183,Economics,Australian National University,PhD,Australia,Canberra,7th,A,0,All Clear,None
157,Ji-woo Kumar,PHD22-DA-101,Data Analytics,King Saud University,PhD,Saudi Arabia,Dhahran,3rd,C,1,Fail,English Composition
158,Syed Singh,PHD23-PST-173,Psychology,American University of Sharjah,PhD,United Arab Emirates,Dubai,5th,D,0,All Clear,None
159,Zahra Müller,BS22-PST-185,Psychology,Karlsruhe Institute of Technology,BS,Germany,Aachen,8th,C,0,All Clear,None
160,Olivia Khan,PHD25-BA-243,Business Administration,King Abdulaziz University,PhD,Saudi Arabia,Riyadh,7th,B,1,Withdraw,Strategic Management
161,Hamza Garcia,MS25-PST-054,Psychology,Ludwig Maximilian University of Munich,MS,Germany,Karlsruhe,7th,D,0,All Clear,None
162,Carlos Patel,MS23-SE-157,Software Engineering,King Saud University,MS,Saudi Arabia,Dhahran,8th,C,0,All Clear,None
163,Emma Al-Mansoori,MS23-DS-123,Data Science,All India Institute of Medical Sciences (AIIMS),MS,India,Kolkata,5th,C,0,All Clear,None
164,Omar Miller,PHD23-EST-011,Economics,McGill University,PhD,Canada,Toronto,7th,D,0,All Clear,None
165,James Kim,MPHIL23-BA-239,Business Administration,Harvard University,Mphil,United States,Berkeley,8th,B,0,All Clear,None
166,Hamza Wong,PHD22-EST-164,Economics,University of British Columbia,PhD,Canada,Toronto,4th,B,0,All Clear,None
167,Ali Lee,MASTER22-PST-105,Psychology,"University of California, Berkeley",Master,United States,Cambridge,2nd,B,1,Not Registered,Developmental Psychology
168,Carlos Khan,BS22-BA-107,Business Administration,McGill University,BS,Canada,Montreal,2nd,B,3,Withdraw,"Principles of Management, Organizational Behavior, English Composition"
169,Amit Shah,MPHIL25-SST-135,Statistics,Imperial College London,Mphil,United Kingdom,Oxford,2nd,C,0,All Clear,None
170,David Shah,MS23-DS-184,Data Science,University of Edinburgh,MS,United Kingdom,Edinburgh,2nd,C,0,All Clear,None
171,Sneha Tan,MS23-BA-023,Business Administration,University of Sydney,MS,Australia,Perth,3rd,D,0,All Clear,None
172,Ravi Das,MPHIL22-CE-115,Civil Engineering,Stanford University,Mphil,United States,Stanford,4th,A,1,Fail,Professional Ethics
173,Emily Shah,MPHIL23-BA-041,Business Administration,Universiti Malaya (UM),Mphil,Malaysia,Penang,4th,A,0,All Clear,None
174,Ji-woo Lopez,BS22-PST-246,Psychology,American University of Sharjah,BS,United Arab Emirates,Sharjah,5th,C,0,All Clear,None
175,Olivia Schneider,MASTER21-SE-135,Software Engineering,University College London (UCL),Master,United Kingdom,Manchester,8th,B,0,All Clear,None
176,David Kumar,BS25-CS-114,Computer Science,University of Melbourne,BS,Australia,Perth,4th,B,0,All Clear,None
177,Noah Garcia,PHD25-CS-107,Computer Science,Indian Institute of Science (IISc),PhD,India,Chennai,8th,A,0,All Clear,None
178,Ravi Haider,MPHIL22-BA-149,Business Administration,University of the Punjab,Mphil,Pakistan,Rawalpindi,1st,D,0,All Clear,None
179,Muhammad Thomas,BS24-ME-047,Mechanical Engineering,Heidelberg University,BS,Germany,Munich,2nd,D,1,Not Registered,Machine Design
180,Emily Rodriguez,PHD25-BA-101,Business Administration,RWTH Aachen University,PhD,Germany,Munich,3rd,C,0,All Clear,None
181,Daniel Gonzalez,MASTER24-DS-089,Data Science,Indian Institute of Technology (IIT) Delhi,Master,India,New Delhi,7th,D,0,All Clear,None
182,Emma Johnson,MASTER21-BA-153,Business Administration,Indian Institute of Technology (IIT) Delhi,Master,India,New Delhi,1st,B,0,All Clear,None
183,Liam Lopez,MS25-SST-056,Statistics,Universiti Teknologi Malaysia,MS,Malaysia,Johor Bahru,1st,D,1,Dropped,Design and Analysis of Experiments
184,Priya Miller,PHD25-EST-057,Economics,Indian Institute of Science (IISc),PhD,India,Bangalore,6th,B,0,All Clear,None
185,Hamza Patel,MS24-EST-202,Economics,University of Toronto,MS,Canada,Edmonton,7th,D,0,All Clear,None
186,Olivia Lopez,MASTER23-DS-220,Data Science,RWTH Aachen University,Master,Germany,Heidelberg,3rd,D,3,Not Registered,"English Composition, Statistical Data Analysis, Professional Ethics"
187,Liam Singh,MS21-DS-138,Data Science,University College London (UCL),MS,United Kingdom,Cambridge,6th,A,1,Withdraw,Statistical Data Analysis
188,Emma Sharma,MS23-CS-245,Computer Science,Universiti Teknologi Malaysia,MS,Malaysia,Kuala Lumpur,4th,D,3,Withdraw,"Communication Skills, Object Oriented Programming, Critical Thinking"
189,Sofia Kumar,MS23-EST-098,Economics,King Abdulaziz University,MS,Saudi Arabia,Riyadh,7th,B,0,All Clear,None
190,John Al-Farsi,PHD23-SE-235,Software Engineering,University of Sydney,PhD,Australia,Sydney,8th,D,0,All Clear,None
191,Ravi Lee,MS25-EST-149,Economics,University of Queensland,MS,Australia,Melbourne,3rd,A,1,Fail,Mathematical Economics
192,Mia Al-Mansoori,MASTER24-MST-044,Mathematics,University of Delhi,Master,India,Kolkata,6th,C,1,Fail,Communication Skills
193,Hamza Haider,BS24-ME-036,Mechanical Engineering,Khalifa University,BS,United Arab Emirates,Abu Dhabi,1st,A,1,Withdraw,Kinematics of Machinery
194,Mia Ahmed,MPHIL21-CE-137,Civil Engineering,National University of Sciences and Technology (NUST),Mphil,Pakistan,Faisalabad,1st,D,0,All Clear,None
195,Lucas Hussein,MPHIL22-PST-028,Psychology,COMSATS University Islamabad,Mphil,Pakistan,Faisalabad,5th,A,1,Withdraw,Pakistan Studies
196,Rahul Shah,MASTER25-DS-063,Data Science,Khalifa University,Master,United Arab Emirates,Sharjah,2nd,C,1,Withdraw,Critical Thinking
197,Hamza Haider,MASTER22-GD-022,Graphic Design,Massachusetts Institute of Technology (MIT),Master,United States,Boston,7th,D,0,All Clear,None
198,Emma Müller,PHD24-CS-070,Computer Science,Heidelberg University,PhD,Germany,Berlin,1st,B,0,All Clear,None
